name,min_stock_amount,location_id,product_group_id,sub,Description
Riz (thai),0,Placard,Féculents & céréales & légumineuses,Riz,
Riz (basmati),0,Placard,Féculents & céréales & légumineuses,Riz,
Riz (complet),0,Placard,Féculents & céréales & légumineuses,,
Riz (arborio),0,Placard,Féculents & céréales & légumineuses,,
Riz (à sushi),0,Placard,Féculents & céréales & légumineuses,,
Riz (cantonais),0,Placard,Féculents & céréales & légumineuses,,
Riz (soufflé),0,Placard,Féculents & céréales & légumineuses,,
Pâtes sèches,2000,Placard,Féculents & céréales & légumineuses,,
Pâtes fraîches,0,Placard,Féculents & céréales & légumineuses,,
Pâtes (spaghetti),1000,Placard,Féculents & céréales & légumineuses,Pâtes sèches,
Pâtes (penne),500,Placard,Féculents & céréales & légumineuses,Pâtes sèches,
Pâtes (coquillettes),0,Placard,Féculents & céréales & légumineuses,Pâtes sèches,
Pâtes (tagliatelle sèches),0,Placard,Féculents & céréales & légumineuses,Pâtes sèches,
Pâtes (tagliatelle fraiches),0,Placard,Féculents & céréales & légumineuses,Pâtes fraîches,
Pâtes (Rigatoni),0,Placard,Féculents & céréales & légumineuses,Pâtes sèches,
Pâtes (Pipe rigate),0,Placard,Féculents & céréales & légumineuses,Pâtes sèches,
Pâtes (macaroni),0,Placard,Féculents & céréales & légumineuses,Pâtes sèches,
Pâtes (Farfalle),0,Placard,Féculents & céréales & légumineuses,Pâtes sèches,
Pâtes (Fusilli),0,Placard,Féculents & céréales & légumineuses,Pâtes sèches,
